,rating,genre
Dragon Ball: Xenoverse,T,Action
Dragon Ball: Xenoverse 2,T,Action
Drawful 2,T,Miscellaneous
Duck Dynasty,T,Sports
Dungeon of the Endless,T,Strategy
Dungeon Punks,E10+,Action
Dying Light,M,Action Adventure
Dying Light: The Following,,Action Adventure
Dying Light: The Following - Enhanced Edition,M,Action Adventure
Dynasty Warriors 8 Empires,T,Action
EA Sports UFC,T,Sports
EA Sports UFC 2,T,Sports
Earthlock: Festival of Magic,E10+,Role-Playing
Electronic Super Joy,M,Action
Elite Dangerous: Horizons,T,Simulation
Elite: Dangerous,T,Simulation
Enigmatis: The Ghosts of Maple Creek,T,Puzzle
Ethan: Meteor Hunter,E10+,Action
Eventide: Slavic Fable,T,Adventure
Evolve,M,Action
Extreme Exorcism,E10+,Action
F1 2015,E,Sports
F1 2016,E,Sports
Factotum 90,E,Puzzle
Fallout 4,M,General
Fallout 4: Automatron,M,Role-Playing
Fallout 4: Contraptions Workshop,,Role-Playing
Fallout 4: Far Harbor,M,Role-Playing
Fallout 4: Nuka-World,,Role-Playing
Fallout 4: Vault-Tec Workshop,,Role-Playing
Fallout 4: Wasteland Workshop,M,Role-Playing
Fantasia: Music Evolved,E10+,Miscellaneous
Far Cry 4,M,Action
Far Cry 4: Valley of the Yetis,M,Action
Far Cry Primal,M,Action
Farming Simulator 15,E,Simulation
Fenix Furia,E,Action
Fibbage: The Hilarious Bluffing Party Game,T,Miscellaneous
FIFA 14,E,Sports
FIFA 15,E,Sports
FIFA 16,E,Sports
FIFA 17,E,Sports
Fighter Within,T,Sports
Final Fantasy Type-0 HD,M,Role-Playing
Firewatch,M,Adventure
Flockers,T,Puzzle
FORCED,T,Role-Playing
Fortified,T,Action
Forza Horizon 2,E10+,Sports
Forza Horizon 2 Presents Fast & Furious,E10+,Sports
Forza Horizon 2: Storm Island,E10+,Sports
Forza Horizon 3,E,Sports
Forza Motorsport 5,E,Sports
Forza Motorsport 6,E,Sports
Forza Motorsport 6 NASCAR Expansion,,Sports
Fragments of Him,M,Adventure
FRU,E,Miscellaneous
Fruit Ninja Kinect 2,E,General
Full Mojo Rampage,T,Role-Playing
Funk of Titans,T,Action
Game of Thrones: A Telltale Games Series,M,Action
Game of Thrones: Episode Five - A Nest of Vipers,M,Action
Game of Thrones: Episode Four - Sons of Winter,M,Action
Game of Thrones: Episode One - Iron From Ice,M,Action
Game of Thrones: Episode Six - The Ice Dragon,M,Action
Game of Thrones: Episode Three - The Sword in the Darkness,M,Action
Game of Thrones: Episode Two - The Lost Lords,M,Action
Gear Gauntlet,E,Action
Gears of War 4,M,Sci-Fi
Gears of War: Ultimate Edition,M,Action
Gemini: Heroes Reborn,T,Action Adventure
Gems of War,T,Puzzle
