,rating,genre
Deception IV: The Nightmare Princess,M,Strategy
Deus Ex: Mankind Divided - System Rift,,Action Adventure
Digimon Story Cyber Sleuth,T,Role-Playing
Dino Dini's Kick Off Revival,,Sports
Disgaea 5: Alliance of Vengeance,T,Fantasy
Divekick: Addition Edition +,T,Action
Doki-Doki Universe,E10+,Miscellaneous
Don't Starve Together: Console Edition,T,Action Adventure
Don't Starve: Console Edition,T,Action Adventure
Don't Starve: Reign of Giants,T,Action Adventure
DOOM: Unto The Evil,,Action
Downwell,E,Action
Dragon Fantasy: The Black Tome of Ice,E10+,Role-Playing
Dragon Fin Soup,T,General
Dragon Quest Builders,E10+,Action Adventure
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,T,2D
Dreii,E,Puzzle
Driveclub,E,Sports
Driveclub Bikes,E,Sports
Driveclub VR,,Sports
Duke Nukem 3D: 20th Anniversary World Tour,M,Action
Dungeons 2,T,Strategy
Dust: An Elysian Tail,E10+,Role-Playing
Earth Defense Force 4.1: The Shadow of New Despair,M,Action
Emily Wants To Play,T,Adventure
Energy Hook,E,Sports
Enter the Gungeon,E10+,Action
Entwined,E,Action
Escape Plan,T,Miscellaneous
ETHER One,E10+,General
EVE: Gunjack,T,Simulation
EVE: Valkyrie,T,Action
Everybody's Gone to the Rapture,M,Action
Exist Archive: The Other Side of the Sky,T,Role-Playing
Fairy Fencer F: Advent Dark Force,T,Role-Playing
Far Cry 4: Escape from Durgesh Prison,M,Action
Farming Simulator 17,,Simulation
Fat Princess Adventures,T,Action
Fez,E,Action
Filthy Lucre,M,Action
Final Fantasy VII,T,Role-Playing
Final Fantasy X / X-2 HD Remaster,T,Miscellaneous
Final Fantasy XIV Online: A Realm Reborn,T,Massively Multiplayer
Final Fantasy XIV: Heavensward,T,Massively Multiplayer
Final Horizon,E10+,Strategy
Flame Over,E,Simulation
flOw,E,Miscellaneous
flower,E,Miscellaneous
Fluster Cluck,E,Action
Forced: Slightly Better Edition,T,Role-Playing
Foul Play,E10+,Action
Furi,M,Action
Futuridium EP Deluxe,E,Action
Gal*Gun: Double Peace,,Action
Galak-Z: The Dimensional,E10+,Action
Gauntlet: Slayer Edition,M,Role-Playing
Geometry Wars 3: Dimensions Evolved,E,Action
God Eater 2: Rage Burst,T,Role-Playing
God Eater Resurrection,T,Role-Playing
God of War III Remastered,M,Action Adventure
Godzilla,T,Action
Goosebumps: The Game,E10+,Adventure
Grand Ages: Medieval,T,Strategy
Grand Kingdom,T,Strategy
Grand Theft Auto III,M,Action Adventure
Grand Theft Auto: San Andreas,M,Action Adventure
Grand Theft Auto: Vice City,M,Action Adventure
Gravity Rush Remastered,T,Action
Grim Fandango Remastered,T,General
Grow Home,E,Action Adventure
Guilty Gear Xrd -REVELATOR-,T,Action
Guilty Gear Xrd -SIGN-,T,Action
GUNS UP!,T,Action
Hand of Fate,T,Role-Playing
Handball 16,E,Sports
Hard Reset Redux,M,Action
Hardware: Rivals,E10+,Simulation
Harmonix Music VR,E,Action
Hatoful Boyfriend,E10+,General
Hatoful Boyfriend: Holiday Star,E10+,Adventure
Hatsune Miku VR: Future Live,T,Action
Hatsune Miku: Project Diva X,T,Action
HAWKEN,T,Action
Headlander,T,Action
Headmaster,E10+,Sports
Heart&Slash,E10+,Action
Heavy Rain,M,Adventure
Heavy Rain & Beyond: Two Souls Collection,,Miscellaneous
Helldivers,T,Action
Here They Lie,M,Adventure
Hitman - Episode 2: Sapienza,,Action Adventure
Hitman - Episode 3: Marrakesh,,Action Adventure
Hitman - Episode 4: Bangkok,,Action Adventure
Hitman - Episode 5: Colorado,,Action Adventure
Hitman - Intro Pack,,Action Adventure
Hitman GO: Definitive Edition,E10+,Strategy
Hohokum,E10+,Adventure Games
Home: A Unique Horror Adventure,M,Action Adventure
Homefront: The Revolution,M,Modern
Hotline Miami,M,Action
Hotline Miami 2: Wrong Number,M,Action
How to Survive: Storm Warning Edition,M,Action Adventure
Hue,E,Puzzle
Hustle Kings,E,Sports
Hyper Light Drifter,T,Role-Playing
Hyper Void,E10+,Action
I Am Bread,E10+,Miscellaneous
I Am Setsuna,E10+,Role-Playing
In Space We Brawl,E,Action
Indigo Prophecy,M,Adventure
inFamous: First Light,T,Action Adventure
inFamous: Second Son,T,Action Adventure
Infinifactory,T,Puzzle
Infinity Runner,T,Action
Injustice: Gods Among Us - Ultimate Edition,T,Action
INSIDE,M,Action
Ironcast,E10+,Puzzle
Ironclad Tactics,T,Strategy
J-Stars Victory Vs+,T,Action
Jamestown+,E10+,Scrolling
Jazzpunk: Director's Cut,T,Adventure
Job Simulator,E10+,Action
Joe Dever's Lone Wolf Console Edition,T,Adventure
JoJo's Bizarre Adventure: Eyes of Heaven,T,Action
Jotun: Valhalla Edition,T,Action
Journey,E,Action
Journey Collector's Edition,E,Miscellaneous
Just Cause 3,M,Sci-Fi
Just Cause 3: Mech Land Assault,,Action Adventure
Just Cause 3: Sky Fortress,,Action Adventure
Just Sing,E10+,Action
Keep Talking and Nobody Explodes,E10+,First-Person
Kholat,T,Adventure
KickBeat: Special Edition,T,Action
Kill Strain,T,Action
Killzone: Shadow Fall,M,Action
Killzone: Shadow Fall - Intercept,M,Action
King's Quest Chapter 4: Snow Place Like Home,E10+,Adventure
Klaus,E10+,Action
Knack,E10+,Action
Knock-knock,E,Miscellaneous
Koi,E,Action Adventure
Krinkle Krusher,E10+,Action
Kromaia Omega,E10+,Action
Kung Fury: Street Rage,T,Action
Legend of Kay Anniversary,E10+,Action Adventure
LEGO Harry Potter Collection,E10+,Miscellaneous
Lichtspeer,T,Action Adventure
Life Goes On: Done to Death,E10+,Action
LittleBigPlanet 3,E,Action
Livelock,T,Action
Loading Human: Chapter 1,T,Adventure
Loadout,M,Action
Lone Survivor: The Director's Cut,T,Action Adventure
Lords of the Fallen - Ancient Labyrinth,,Role-Playing
Lost Orbit,T,Action
LOUD on Planet X,T,Action
Magicka 2,T,Fantasy
Manhunt,M,Action Adventure
Marvel: Ultimate Alliance Bundle,,Miscellaneous
Megadimension Neptunia VII,T,Role-Playing
Mercenary Kings,T,Action
Metal Gear Solid V: The Definitive Experience,M,Miscellaneous
Metal Slug 3,T,Action
Metrico+,E,Puzzle
Might & Magic: Duel of Champions - Forgotten Wars,T,Strategy
MilitAnt,E10+,Action
Minecraft: PlayStation 4 Edition,E10+,Action Adventure
Minecraft: Story Mode - Episode 8: A Journey's End?,E10+,Action Adventure
Minutes,E,Action
MLB 14: The Show,E,Sports
MLB 15: The Show,E,Traditional
MLB The Show 16,E,Sports
Moon Hunters,E10+,Role-Playing
Mordheim: City of the Damned,M,Strategy
MotoGP 14,E,Sports
Motorcycle Club,E,Sports
MouseCraft,E,Miscellaneous
Mutant Mudds: Super Challenge,E,Action
MXGP: The Official Motocross Videogame,E,Sports
My Night Job,T,Action
N++,E10+,Action
Nano Assault NEO-X,E,Action
Natural Doctrine,M,Strategy
Never Alone: Foxtales,E10+,Action
Neverending Nightmares,M,Action Adventure
Nidhogg,T,Action
Nightmares from the Deep: The Cursed Heart,T,Puzzle
Nights of Azure,T,Role-Playing
Ninja Senki DX,E10+,Action
Nitroplus Blasterz: Heroines Infinite Duel,T,Action
No Man's Sky,T,Action
Nobunaga's Ambition: Sphere of Influence,T,Strategy
Nom Nom Galaxy,E,Action
Not a Hero,M,General
NOVA-111,E,Sci-Fi
Now That's What I Call Sing,,Action
Nuclear Throne,E10+,Action
Obliteracers,E,Sports
Odin Sphere Leifthrasir,T,Role-Playing
Okage: Shadow King,T,Role-Playing
OlliOlli2: Welcome to Olliwood,T,Sports
Omega Quintet,T,Role-Playing
One Piece: Pirate Warriors 3,T,Action
One Upon Light,E10+,Puzzle
One Way Trip,M,Action
Onechanbara Z2: Chaos,M,Action Adventure
Organ Trail: Complete Edition,T,Action
Outlast: Whistleblower,M,Action Adventure
Pang Adventures,E,Action
Paperbound,E10+,Action
PaRappa the Rapper 2,E,Action
Perfect Universe,E10+,Action
Phantom Breaker: Battle Grounds Overdrive,E10+,Action
Pillar,T,Puzzle
Pix the Cat,E,Action
Pixel Gear,E10+,Action
PixelJunk Shooter Ultimate,E,Action
PlanetSide 2,T,Action
PlayStation VR WORLDS,,Miscellaneous
PONCHO,E,Action
Primal Carnage: Extinction,T,Action
Prominence Poker,T,Miscellaneous
Psycho-Pass: Mandatory Happiness,T,Adventure
Puddle,T,Miscellaneous
Pure Chess,E,Miscellaneous
Push Me Pull You,E,Sports
Putty Squad,E10+,Action
Q*bert: Rebooted,E,Action
Race the Sun,E,Action
Rack N Ruin,T,Action Adventure
Rainbow Moon,E10+,Strategy
Ratchet & Clank,E10+,Action
Red Goddess: Inner World,E10+,Action
Republique,M,Action Adventure
Resogun,E10+,Action
Resogun: Defenders,,Action
Resogun: Heroes,E10+,Action
Rez Infinite,E10+,Action
RIGS: Mechanized Combat League,T,Simulation
Riptide GP: Renegade,E10+,General
Rise of the Tomb Raider: 20 Year Celebration,M,Action Adventure
Risen 3: Titan Lords - Enhanced Edition,M,Role-Playing
Risk of Rain,T,Action
RIVE,E10+,Action
Road Not Taken,E,Miscellaneous
Rock Boshers DX: Director's Cut,E10+,Action
Rocketbirds 2: Evolution,T,Action
Rogue Galaxy,T,Role-Playing
Rollers of the Realm,T,Action
Romance of the Three Kingdoms XIII,E10+,Strategy
Saint Seiya: Soldiers' Soul,T,Action
Saints Row IV: Re-Elected & Gat Out of Hell,M,Action Adventure
Salt and Sanctuary,M,Action
Samurai Warriors 4,T,Action
Samurai Warriors 4 Empires,T,Action
Samurai Warriors 4-II,T,Action
Score Rush Extended,E,Action
Scrabble,E,Miscellaneous
Scram Kitty DX,E,Action
Secret Ponchos,T,Action
Senran Kagura: Estival Versus,M,Action
Shadow Blade: Reload,T,Action
Shadow of the Beast,M,Action Adventure
Shadwen,M,Action Adventure
Shantae: Risky's Revenge - Director's Cut,,Action
Shu,E,Action
Shutshimi,E10+,Action
SingStar,E,Action
SingStar: Ultimate Party,,Miscellaneous
Skullgirls: 2nd Encore,T,Action
Skulls of the Shogun: Bone-a-Fide Edition,T,Fantasy
Slain: Back From Hell,M,Action
Sniper Elite III: Ultimate Edition,M,Action
Soft Body,E,Puzzle
SOMA,M,Action Adventure
Sound Shapes,E,Action
South Park: The Stick of Truth,M,Role-Playing
Speakeasy,T,Action
Spelunker World,E,Action
Spelunky,T,Action
Splice,E,Puzzle
SportsBarVR,E,Sports
Sportsfriends,E10+,Sports
Star Ocean: Integrity and Faithlessness,T,Role-Playing
Star Wars Battlefront: Bespin,,Action
Star Wars Battlefront: Death Star,,Action
Star Wars Pinball: Heroes Within,E10+,Action
Star Wars Pinball: The Force Awakens,,Action
Star Wars: Jedi Starfighter,T,Simulation
Table Top Racing: World Tour,E,Sports
Tales of Zestiria,T,Role-Playing
Tearaway Unfolded,E,Action Adventure
Tennis in the Face,T,Puzzle
Tethered,E10+,Action
Tharsis,M,Miscellaneous
That Trivia Game,E,Miscellaneous
The Assembly,T,Miscellaneous
The Binding of Isaac: Afterbirth,,Action
THE BIT.TRIP,E,Miscellaneous
The Castle Game,E10+,Strategy
The Deadly Tower of Monsters,T,General
The Elder Scrolls Online: Tamriel Unlimited - Thieves Guild,,Role-Playing
The Huntsman: Winter's Curse,T,Role-Playing
The King of Fighters XIV,T,Action
The Last of Us Remastered,M,Action Adventure
The Last of Us: Left Behind,M,Action Adventure
The Last Tinker: City of Colors,E10+,Action
The Order: 1886,M,Action
The Playroom VR,E,Miscellaneous
The Sun and Moon,E,Action
The Swindle,E10+,Action
The Talos Principle,E10+,Adventure
The Tomorrow Children,T,Sci-Fi
The Unfinished Swan,E10+,Action
The Vanishing of Ethan Carter,M,Miscellaneous
The Walking Dead: Michonne - A Telltale Miniseries,,Adventure
UEFA EURO 2016,E,Sports
Ultra Street Fighter IV,T,Action
Umbrella Corps,M,Action
Uncharted 4: A Thief's End,T,General
Uncharted: The Nathan Drake Collection,T,Action Adventure
Until Dawn,M,Action Adventure
Until Dawn: Rush of Blood,M,Action
Valkyria Chronicles Remastered,T,Strategy
Velocibox,E,Action
Verdun,M,Action
VVVVVV,E10+,Action
Wander,E,Simulation
War Thunder,T,Action
Wayward Sky,T,Action
Wild Arms 3,T,Role-Playing
Windlands VR,E,Adventure
Woah Dave!,E,Action
World of Final Fantasy,E10+,Role-Playing
XCOM 2,T,Strategy
Xeodrifter,E,Action
007 Legends,T,Action
007: NightFire,T,Action
007: Quantum of Solace,T,Action
0RBITALIS,,Miscellaneous
10 Second Ninja,,Action
1000 Amps,,Miscellaneous
12 is Better Than 6,,Action
15 Days,,Adventure
1503 A.D. - The New World,T,Strategy
1701 A.D.,E10+,Strategy
18 Wheels of Steel: American Long Haul,E,Simulation
18 Wheels of Steel: Extreme Trucker,E,Sports
1849,,Strategy
1954: Alcatraz,,Puzzle
1979 Revolution: Black Friday,,Adventure
1nsane,E,Sports
2002 FIFA World Cup,E,Sports
25 to Life,M,Action
A Bird Story,,Action
A City Sleeps,,Action
A Druid's Duel,,Strategy
A Fistful of Gun,,Action
A Game of Dwarves,,Strategy
A Game of Thrones: Genesis,,Strategy
A Golden Wake,,Miscellaneous
A Kingdom for Keflings,E,Strategy
A New Beginning: Final Cut,,Adventure
A Pixel Story,,Action
A Quiet Weekend in Capri,E,Adventure
A Story About My Uncle,,Action
A Stroke of Fate: Operation Valkyrie,,Adventure
A Tale in the Desert,,Role-Playing
A Valley Without Wind,T,Action Adventure
A Valley Without Wind 2,,Action
A Vampyre Story,T,Adventure
A Virus Named TOM,,Miscellaneous
A Walk in the Dark,,Action
A.R.E.S. Extinction Agenda,,Action
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,,Action
B-17 Flying Fortress: The Mighty 8th,M,Simulation
B-17 Gunner: Air War Over Germany,T,Simulation
Babel Rising,E10+,Strategy
Back in 1995,,Action Adventure
Back to the Future: The Game - Episode I: It's About Time,,Action Adventure
Back to the Future: The Game - Episode II: Get Tannen!,RP,Action Adventure
Back to the Future: The Game - Episode III: Citizen Brown,E,Action Adventure
Back to the Future: The Game - Episode IV: Double Visions,RP,Action Adventure
Back to the Future: The Game - Episode V: OUTATIME,RP,Action Adventure
Backyard Skateboarding (2004),E,Sports
Bad Bots,,Action
Bad Hotel,,Miscellaneous
Bad Mojo,T,Action Adventure
Bad Mojo: Redux,T,Action Adventure
Bad Piggies,E,Puzzle
Baldur's Gate,T,Role-Playing
Baldur's Gate II: Enhanced Edition,,Role-Playing
Baldur's Gate II: Shadows of Amn,T,Role-Playing
Baldur's Gate: Enhanced Edition,T,Role-Playing
Baldur's Gate: Siege of Dragonspear,,Role-Playing
Ballistics,E,Sports
Cabela's Big Game Hunter 2005 Adventures,T,Sports
Cabela's Big Game Hunter: Pro Hunts,T,Sports
Cabela's Dangerous Hunts,T,Sports
Cabela's Dangerous Hunts 2,T,Sports
Cabela's Dangerous Hunts 2013,T,Sports
Caesar IV,E10+,Strategy
CALENDULA,,Adventure
Californium,,First-Person
Call of Cthulhu: Dark Corners of the Earth,M,Action Adventure
Call of Cthulhu: The Wasted Land,,Strategy
Call of Duty,T,Action
Call of Duty 2,T,Action
Call of Duty 4: Modern Warfare,M,Action
Call of Duty: Black Ops,M,Action
Call of Duty: Black Ops - Annihilation,M,Action
Call of Duty: Black Ops - Escalation,M,Action
Call of Duty: Black Ops - First Strike,M,Action
Call of Duty: Black Ops - Rezurrection,M,Action
Call of Duty: Black Ops II,M,Action
Call of Duty: Black Ops II - Apocalypse,M,Action
Call of Duty: Black Ops II - Revolution,M,Action
Call of Duty: Black Ops II - Uprising,M,Action
Call of Duty: Black Ops II - Vengeance,M,Action
Call of Duty: Modern Warfare 2,M,Action
Call of Duty: Modern Warfare 2 - Stimulus Package,M,Action
Call of Duty: United Offensive,T,Action
D-Day,T,Strategy
D.i.R.T. - Origin of the Species,M,Action
Danganronpa 2: Goodbye Despair,,Adventure
Danganronpa: Trigger Happy Havoc,,Adventure
Dangerous High School Girls in Trouble,,Role-Playing
Dangerous Waters,E,Simulation
DARK,M,Action Adventure
Dark Age of Camelot,T,Role-Playing
Dark Age of Camelot: Catacombs,T,Role-Playing
Dark Age of Camelot: Darkness Rising,T,Role-Playing
Dark Age of Camelot: Shrouded Isles,T,Role-Playing
Dark Age of Camelot: Trials of Atlantis,T,Role-Playing
Dark Fall 3: Lost Souls,,Adventure
Dark Fall: Lights Out,T,Adventure
Dark Fall: The Journal,T,Adventure
Dark Fear,,Role-Playing
Dark Horizon,E10+,Simulation
Dark Matter (2013),,Action Adventure
Dark Messiah of Might and Magic,M,Action
E.T. Armies,,Action
E.Y.E: Divine Cybermancy,RP,Role-Playing
Eador: Genesis,,Strategy
Eador: Masters of the Broken World,,Strategy
Eagle Flight,E10+,Action
Earth & Beyond,T,Role-Playing
Earth 2150,T,Strategy
Earth 2150: Lost Souls,T,Strategy
Earth 2150: The Moon Project,T,Strategy
Earth 2160,T,Strategy
Earth Defense Force: Insect Armageddon,T,Action
Earthrise,RP,Role-Playing
Earthworm Jim 2,K-A,Action
East India Company,T,Action Adventure
East India Company: Privateer,,Action Adventure
East Side Story - A Carol Reed Mystery,,Adventure
Echelon,E,Simulation
Echelon: Wind Warriors,T,Simulation
Echo Of Soul,,Role-Playing
Echo Prime,,Action
Echo: Secrets of the Lost Cavern,E,Adventure
Eden*,M,Adventure
Edge,,Action
F.E.A.R.,M,Action
F.E.A.R. 2: Project Origin,M,Action
F.E.A.R. 3,M,First-Person Shooters
F.E.A.R. Combat,M,Action
F.E.A.R. Extraction Point,M,Action
F.E.A.R. Perseus Mandate,M,Action
F1 2001,E,Sports
F1 2002,E,Sports
F1 2010,E,Sports
F1 2011,E,Sports
F1 2012,E,Sports
F1 2013,E,Sports
F1 2014,E,Sports
F1 Challenge '99-'02,E,Sports
F1 Championship Season 2000,E,Sports
F1 Race Stars,E,Sports
F1 World Grand Prix,E,Sports
Fable Anniversary,M,Role-Playing
Fable III,M,Role-Playing
Face Noir,,Adventure
Faces of War,M,Strategy
Faery: Legends of Avalon,E10+,Role-Playing
Fahrenheit: Indigo Prophecy Remastered,M,Action
Fair Strike,T,Simulation
Fairy Fencer F,T,Role-Playing
Falcon 4.0,T,Simulation
Falcon 4.0: Allied Force,T,Simulation
Fallen Earth: Welcome to the Apocalypse,M,Role-Playing
Fallen Enchantress: Legendary Heroes,,Strategy
G-Force,E10+,Action
G.I. Combat,T,Strategy
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,,Adventure
Galacide,,Action
Galactic Assault: Prisoner of Power,T,Strategy
Galactic Civilizations,E,Strategy
Galactic Civilizations II: Dark Avatar,,Strategy
Galactic Civilizations II: Dread Lords,E10+,Strategy
Galactic Civilizations II: Twilight of the Arnor,,Strategy
Galactic Civilizations III,,Strategy
Galactic Civilizations III: Mercenaries,,General
Galactic Civilizations: Altarian Prophecy,E,Strategy
Galactic Command: Echo Squad,,Simulation
Galaga: Destination Earth,E,Action
Galaxy On Fire 2 Full HD,,Simulation
Galcon Fusion,,Strategy
Galcon Legends,,Strategy
Game Dev Tycoon,,Strategy
Game of Thrones,M,Role-Playing
Game Tycoon,E10+,Strategy
Hack 'n' Slash,,Action
Hacker Evolution Duality,,Strategy
Hacknet,,Miscellaneous
Halcyon 6: Starbase Commander,,Strategy
Half Minute Hero: The Second Coming,,Role-Playing
Half-Life,M,Action
Half-Life 2,M,Action
Half-Life 2: Episode One,M,Action
Half-Life 2: Episode Two,M,Action
Half-Life: Blue Shift,M,Action
Half-Minute Hero: Super Mega Neo Climax Ultimate Boy,,Role-Playing
Halfway,,Strategy
Halo 2,M,Action
Halo: Combat Evolved,M,Action
Halo: Spartan Strike,T,Scrolling
Hamilton's Great Adventure,E,Adventure
Hammer & Sickle,T,Strategy
Hammerwatch,,Action
Hannah Montana: The Movie,E,Action
Hans Christian Andersen: The Ugly Prince Duckling,E,Adventure
Happy Feet,E,Adventure
Happy Tree Friends: False Alarm,M,Action
Happy Wars,T,Action
Harbinger,T,Role-Playing
Hard Reset,M,Action
I Am Alive,M,Action Adventure
I Can't Escape: Darkness,,Adventure
I Get This Call Every Day,,Simulation
I of the Dragon,M,Role-Playing
I Want To Be Human,,Action
I Was an Atomic Mutant!,T,Action
I'm not Alone,,Action Adventure
I-Fluid,,Adventure
Ian's Eyes,,Action Adventure
Ibb & Obb,E,General
iBomber Attack,,Adventure
iBomber Defense,,Action
iBomber Defense Pacific,,Strategy
Ice Age 2: The Meltdown,E10+,Action
Ice Age: Dawn of the Dinosaurs,E10+,Action
Icewind Dale,T,Role-Playing
Icewind Dale II,T,Role-Playing
Icewind Dale: Enhanced Edition,,Role-Playing
Icewind Dale: Heart of Winter,T,Role-Playing
ICY,,Role-Playing
Iesabel,,Action
If My Heart Had Wings,T,Adventure
IGI 2: Covert Strike,M,Action Adventure
Ignite,,Sports
Ikaruga,,Action
IL-2 Sturmovik,T,Simulation
IL-2 Sturmovik: 1946,T,Simulation
J.U.L.I.A.,,Strategy
J.U.L.I.A.: Among the Stars,,Strategy
Jack Keane,T,Adventure
Jack Keane 2: The Fire Within,T,Adventure
Jack Lumber,,Action
Jack the Ripper,T,Adventure
Jade Empire: Special Edition,M,Role-Playing
Jagged Alliance 2: Unfinished Business,T,Strategy
Jagged Alliance 2: Wildfire,T,Strategy
Jagged Alliance: Back in Action,M,Strategy
Jagged Alliance: Crossfire,T,Strategy
Jagged Alliance: Flashback,,Strategy
James Bond 007: Blood Stone,T,Action
James Cameron's Avatar: The Game,T,Action
Jamestown: Legend of the Lost Colony,,Action
Jane's Attack Squadron,E,Simulation
JASF: Jane's Advanced Strike Fighters,T,Action
Jaws Unleashed,M,Action
Jazz and Faust,T,Adventure
Jazzpunk,,Adventure Games
Jekyll & Hyde (2001),T,Action
Jerry McPartlin - Rebel with a Cause,,Adventure
Jet Car Stunts,E,Action
Jet Set Radio,T,Action
Jetfighter 2015,T,Simulation
JetFighter IV: Fortress America,E,Simulation
JetFighter V: Homeland Protector,T,Simulation
K-Hawk: Survival Instinct,T,Action Adventure
KAIRO,,Adventure
KAMI,,Miscellaneous
Kane & Lynch 2: Dog Days,M,Action
Kane & Lynch: Dead Men,M,Action
KAO the Kangaroo,E,Action
Kao the Kangaroo Round 2,E,Action
Kaptain Brawe: A Brawe New World,T,Adventure
Karate Master 2 Knock Down Blow,,Sports
Karateka,T,Action
Karma. Incarnation 1,,Action
Karmaflow: The Rock Opera Videogame,,Action
Katawa Shoujo,,Adventure
Kathy Rain,,Adventure
Keepsake,E,Adventure
Kelly Slater's Pro Surfer,T,Sports
Kelvin and the Infamous Machine,,Adventure
Kentucky Route Zero - Act I,,Adventure
Kentucky Route Zero - Act II,,Adventure
Kentucky Route Zero - Act III,,Adventure
Kentucky Route Zero - Act IV,,Adventure
Kero Blaster,,General
Kick-Ass 2,,Action
KickBeat: Steam Edition,T,Action
Kill the Bad Guy,,Miscellaneous
kill.switch,T,Action
L.A. Noire: The Complete Edition,M,Adventure
La Grande Armee at Austerlitz,,Strategy
La-Mulana (Remake),,Action
Land of Legends,,Strategy
Land of the Dead: Road to Fiddler's Green,M,Action
Lantern Forge,,Action
Lara Croft and the Guardian of Light,T,Action Adventure
Lara Croft Tomb Raider: The Angel of Darkness,T,Action Adventure
Larry Ragland 4x4 Challenge,E,Sports
Larva Mortus,,Action
Laser Squad Nemesis,T,Strategy
Last Knight,,Action
Last Word,,Role-Playing
Law & Order II: Double or Nothing,T,Adventure
Law & Order: Criminal Intent,M,Adventure
Law & Order: Dead on the Money,T,Adventure
Law & Order: Justice Is Served,T,Adventure
Law & Order: Legacies,,Miscellaneous
Laxius Force - Heroes Never Die,,Role-Playing
Laxius Force III - The Last Stand,,Role-Playing
Le Mans 24 Hours,E,Sports
Lead and Gold: Gangs of the Wild West,M,Action
Leadfoot,E,Sports
M.U.D. TV,T,Strategy
MacGuffin's Curse,,Adventure
Machinarium,,Adventure
Mad Riders,E,Sports
Madagascar,E10+,Action
Madagascar: Escape 2 Africa,E10+,Action
Madballs in Babo: Invasion,,Action
Madden NFL 06,E,Sports
Madden NFL 07,E,Sports
Madden NFL 08,E,Sports
Madden NFL 2001,E,Sports
Madden NFL 2002,E,Sports
Madden NFL 2003,E,Sports
Madden NFL 2004,E,Sports
Madden NFL 2005,E,Sports
Made Man: Confessions of the Family Blood,M,Action Adventure
Maelstrom,T,Strategy
Mafia,M,Action Adventure
Mafia II,M,Action Adventure
Mafia II: Jimmy's Vendetta,M,Action Adventure
Mafia II: Joe's Adventures,M,Action Adventure
Mage Knight: Apocalypse,T,Role-Playing
Magic & Mayhem: The Art of Magic,T,Strategy
nail'd,E10+,Sports
NaissanceE,,Adventure Games
Naked War,,Strategy
Namco Museum 50th Anniversary,E10+,Miscellaneous
Nancy Drew Dossier: Resorting to Danger,E10+,Miscellaneous
Nancy Drew: Curse of Blackmoor Manor,E,Adventure
Nancy Drew: Danger By Design,E,Adventure
Nancy Drew: Danger on Deception Island,E,Adventure
Nancy Drew: Ghost of Thornton Hall,E,Action
Nancy Drew: Last Train to Blue Moon Canyon,E,Adventure
Nancy Drew: Legend of the Crystal Skull,E,Adventure
Narco Terror,M,Action
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,T,Action
Naruto Shippuden: Ultimate Ninja Storm Revolution,T,Action
NASCAR '14,E,Sports
NASCAR Heat,E,Sports
NASCAR Racing 2002 Season,E,Sports
O.R.B.,T,Strategy
Obduction,,Adventure
Oblitus,,Action
Obscure,M,Action Adventure
Obscure: The Aftermath,M,Action Adventure
Obscuritas,,Adventure
Obsidian,K-A,Adventure
Ocean City Racing,,Sports
Odallus: The Dark Call,,Action Adventure
Oddworld: Abe's Exoddus,T,Action
Oddworld: Abe's Oddysee,T,Action
Oddworld: Munch's Oddysee,T,Action
Odyssey: The Search for Ulysses,E,Adventure
Of Light and Darkness: The Prophecy,,Adventure
Of Orcs and Men,RP,Role-Playing
Off-Road Drive,,Sports
Off-Road Redneck Racing,E,Sports
Officers,E10+,Strategy
Offspring Fling,,Miscellaneous
Offworld Trading Company,,Strategy
QuestRun,,Role-Playing
Qvadriga,,Strategy
R.I.P.D. The Game,T,Action
R.U.S.E.,T,Strategy
Rabi-Ribi,,Action
RACE 07: Official WTCC Game,E,Sports
Race Injection,,Sports
RACE On,E,Sports
RACE: The WTCC Game,E,Sports
Rag Doll Kung Fu,T,Action
Rage,M,Action
RAGE: The Scorchers,,Action
Raging Tiger: The Second Korean War,,Strategy
Ragnarok Online,T,Role-Playing
Ragnarok Online 2: Legend of the Second,,Role-Playing
RaiderZ,,Role-Playing
Rail Simulator,E,Simulation
Railroad Pioneer,E,Strategy
Railroad Tycoon 3,E,Strategy
Railroad Tycoon II,E,Strategy
Rails Across America,E,Strategy
RailWorks,E,Simulation
Railworks 3: Train Simulator 2012,E,Simulation
Rain Blood Chronicles: Mirage,,Action
RalliSport Challenge,E,Sports
Rally Trophy,E,Sports
S.T.A.L.K.E.R.: Call of Pripyat,M,Action
S.T.A.L.K.E.R.: Clear Sky,M,Action
S.T.A.L.K.E.R.: Shadow of Chernobyl,M,Action
S.W.I.N.E.,T,Strategy
Sacred,T,Role-Playing
Sacred 2: Fallen Angel,M,Role-Playing
Sacred 3,M,Role-Playing
Sacred Citadel,T,Action
Sacred Underworld,T,Role-Playing
Sacrifice,M,Strategy
Safecracker: The Ultimate Puzzle Adventure,E,Miscellaneous
Saga,,Role-Playing
Saints Row 2,M,Action Adventure
Saints Row IV,M,Action Adventure
Saints Row IV: Enter the Dominatrix,,Action Adventure
Saints Row: The Third,M,Action Adventure
Saints Row: The Third - Gangstas in Space,M,Action Adventure
Saints Row: The Third - Genki Bowl VII,M,Action
Saints Row: The Third - The Trouble with Clones,M,Action Adventure
Saira,,Action
