title,platform,genre,metascore,userscore,rating,developer
Assassin's Creed Unity: Dead Kings,Xbox One,Action Adventure,64,5.3,M,Ubisoft
Assassin's Creed Unity: Revolutionary Armaments Pack,Xbox One,Action Adventure,No score yet,tbd,M,Ubisoft Montreal
Assassin's Creed Unity: Secrets of the Revolution,Xbox One,Action Adventure,No score yet,tbd,M,Ubisoft
Assassin's Creed Unity: Underground Armory Pack,Xbox One,Action Adventure,No score yet,tbd,M,Ubisoft Montreal
Assassin's Creed: The Ezio Collection,Xbox One,Miscellaneous,No score yet,,M,Ubisoft Montreal
Assetto Corsa,Xbox One,Racing,64,6.7,E,Kunos Simulazioni
Atari Flashback Classics: Volume 1,Xbox One,Miscellaneous,No score yet,,E,Atari
Atari Flashback Classics: Volume 2,Xbox One,Miscellaneous,No score yet,,E,Atari
Attack on Titan,Xbox One,Action,77,6.3,M,Omega Force
ATV Renegades,Xbox One,Racing,No score yet,,E,Nighthawk Interactive
Awesomenauts Assemble!,Xbox One,Strategy,81,tbd,T,DTP Entertainment
Axiom Verge,Xbox One,Action Adventure,85,tbd,T,Tom Happ
Azkend 2: The World Beneath,Xbox One,Puzzle,67,tbd,E,10tons Ltd
Back to the Future: The Game,Xbox One,Adventure,No score yet,7.3,T,Telltale Games
BADLAND: Game of the Year Edition,Xbox One,Action,69,5.5,E,Frogmind
Baila Latino,Xbox One,Action,No score yet,tbd,E,Oxygene
Bard's Gold,Xbox One,Action,63,tbd,E,Erdem Sen
Baseball Riot,Xbox One,Puzzle,62,tbd,E10+,10tons Ltd
Batman: Arkham Knight,Xbox One,General,85,6.6,M,Rocksteady Studios
Batman: Arkham Knight - A Flip of a Coin,Xbox One,Action Adventure,No score yet,5.5,M,Rocksteady Studios
Batman: Arkham Knight - A Matter of Family,Xbox One,Action Adventure,62,5.2,M,WB Games Montreal
Batman: Arkham Knight - Catwoman's Revenge,Xbox One,Action Adventure,No score yet,6.2,M,Rocksteady Studios
Batman: Arkham Knight - Crime Fighter Challenge Pack 1,Xbox One,Action Adventure,No score yet,tbd,M,Rocksteady Studios
Batman: Arkham Knight - Crime Fighter Challenge Pack 2,Xbox One,Action Adventure,No score yet,tbd,M,Rocksteady Studios
Batman: Arkham Knight - Crime Fighter Challenge Pack 3,Xbox One,Action Adventure,No score yet,tbd,M,Rocksteady Studios
Batman: Arkham Knight - Crime Fighter Challenge Pack 4,Xbox One,Action Adventure,No score yet,tbd,M,Rocksteady Studios
Batman: Arkham Knight - Crime Fighter Challenge Pack 5,Xbox One,Action Adventure,No score yet,tbd,M,Rocksteady Studios
Batman: Arkham Knight - GCPD Lockdown,Xbox One,Action Adventure,No score yet,4.4,M,WB Games Montreal
Batman: Arkham Knight - Harley Quinn Story Pack,Xbox One,Action Adventure,No score yet,6.0,M,Rocksteady Studios
Batman: Arkham Knight - Red Hood Story Pack,Xbox One,Action Adventure,No score yet,6.0,M,Rocksteady Studios
Batman: Arkham Knight - Season of Infamy: Most Wanted,Xbox One,Action Adventure,No score yet,7.5,M,Rocksteady Studios
Batman: Arkham Knight - WayneTech Track Pack,Xbox One,Action Adventure,No score yet,tbd,M,Rocksteady Studios
Batman: Return to Arkham,Xbox One,Miscellaneous,78,7.3,T,Rocksteady Studios
Batman: The Telltale Series,Xbox One,Action,No score yet,4.5,M,Telltale Games
Batman: The Telltale Series - Episode 1: Realm of Shadows,Xbox One,Adventure,65,6.8,M,Telltale Games
Batman: The Telltale Series - Episode 2: Children of Arkham,Xbox One,Adventure,83,7.9,M,Telltale Games
Batman: The Telltale Series - Episode 3: New World Order,Xbox One,Adventure,72,8.4,,Telltale Games
Battle Ages,Xbox One,Strategy,No score yet,3.2,E10+,DR Studios
Battle High 2 A+,Xbox One,Action,No score yet,tbd,T,Mattrified
Battle Islands,Xbox One,Action,No score yet,tbd,T,DR Studios
Battle Worlds: Kronos,Xbox One,Strategy,65,tbd,E10+,KING Art
Battleborn,Xbox One,Sci-Fi,71,7.2,T,Gearbox Software
Battleborn - Attikus and the Thrall Rebellion,Xbox One,Action,No score yet,tbd,,Gearbox Software
Battlefield 1,Xbox One,Action,88,8.2,M,EA DICE
Battlefield 4,Xbox One,Action,81,6.6,M,EA DICE
Battlefield 4: China Rising,Xbox One,Action,No score yet,5.8,,
Battlefield 4: Community Operations,Xbox One,Action,No score yet,tbd,M,EA DICE
Battlefield 4: Dragon's Teeth,Xbox One,Action,No score yet,5.8,M,EA DICE
Battlefield 4: Final Stand,Xbox One,Action,No score yet,tbd,M,EA DICE
Battlefield 4: Legacy Operations,Xbox One,Action,No score yet,tbd,M,EA DICE
Battlefield 4: Naval Strike,Xbox One,Action,61,6.2,M,EA DICE
Battlefield 4: Night Operations,Xbox One,Action,No score yet,tbd,M,EA DICE
Battlefield 4: Premium Edition,Xbox One,Action,No score yet,7.4,M,EA DICE
Battlefield 4: Second Assault,Xbox One,Action,No score yet,5.2,M,Dice
Battlefield Hardline,Xbox One,Modern,71,5.1,M,Visceral Games
Battlefield Hardline: Criminal Activity,Xbox One,Action,No score yet,tbd,M,Visceral Games
Battlefield Hardline: Getaway,Xbox One,Action,No score yet,tbd,M,Visceral Games
Battlefield Hardline: Robbery,Xbox One,Action,No score yet,tbd,M,Visceral Games
Battleship,Xbox One,Miscellaneous,65,7.6,E10+,Frima Studio
Beach Buggy Racing,Xbox One,Action,65,6.7,E,Vector Unit
Beatbuddy: Tale of the Guardians,Xbox One,Action,67,tbd,E,Threaks
Beatsplosion for Kinect,Xbox One,Action,No score yet,tbd,E,Virtual Air Guitar Company
Bedlam,Xbox One,Action,59,tbd,M,RedBedlam
Ben-Hur,Xbox One,Racing,No score yet,1.0,T,Krome Studios
Beyond Eyes,Xbox One,Action Adventure,60,5.7,E,tiger & squid
Big Buck Hunter Arcade,Xbox One,Sports,No score yet,tbd,,Maximum Games
Bike Mayhem 2,Xbox One,Sports,61,tbd,E,Goldmark Studios
Binaries,Xbox One,Action,No score yet,tbd,E,Ground Shatter Ltd.
BioShock: The Collection,Xbox One,Action,85,8.4,M,2K Games
Bladestorm: Nightmare,Xbox One,Action,48,7.1,T,Omega Force
Blast 'Em Bunnies,Xbox One,Action,No score yet,tbd,E10+,Nnooo
Blast Brawl 2,Xbox One,Action,No score yet,tbd,T,Mind's Eye Games
BlazBlue: Chrono Phantasma Extend,Xbox One,Action,No score yet,6.3,T,Arc System Works
Blood Bowl 2,Xbox One,Sports,70,8.1,T,Cyanide
Blue Estate,Xbox One,Action,51,7.5,M,HeSaw
Blue Rider,Xbox One,Action,No score yet,tbd,E10+,Ravegan
Blues and Bullets - Episode 1: The End of Peace,Xbox One,Action Adventure,70,5.4,M,A Crowd of Monsters
Blues and Bullets - Episode 2: Shaking The Hive,Xbox One,Action Adventure,74,4.5,,A Crowd of Monsters
Boggle,Xbox One,Miscellaneous,No score yet,tbd,E,Frima Studio
Boom Ball for Kinect,Xbox One,Action,No score yet,7.5,E,Virtual Air Guitar Company
Borderlands 2,Xbox One,Action,No score yet,7.3,M,Gearbox Software
Borderlands: The Handsome Collection,Xbox One,Miscellaneous,80,7.8,M,Gearbox Software
Breach & Clear: Deadline,Xbox One,Strategy,No score yet,tbd,M,Mighty Rabbit Studios
Brick Breaker,Xbox One,Puzzle,No score yet,tbd,,Sanuk Games
Bridge Constructor,Xbox One,Simulation,58,tbd,E,ClockStone Software
Broken Sword 5: The Serpent's Curse,Xbox One,Adventure,77,7.2,T,Revolution Software
Brothers: A Tale of Two Sons,Xbox One,Action Adventure,81,8.9,T,Starbreeze
Brunswick Pro Bowling,Xbox One,Sports,No score yet,tbd,E,Farsight Technologies
Cabela's African Adventures,Xbox One,Sports,No score yet,tbd,T,FUN Labs
Call of Duty: Advanced Warfare,Xbox One,Action,81,5.5,M,Sledgehammer Games
