title,platform,genre,metascore,userscore,rating,developer
A Vampyre Story,PC,Adventure,75,8.5,T,Autumn Moon
A Virus Named TOM,PC,Miscellaneous,65,6.3,,Misfits Attic
A Walk in the Dark,PC,Action,67,5.7,,Flying Turtle Software
A Wizard's Lizard,PC,Role-Playing,No score yet,7.1,,Lost Decade Games
A.R.E.S. Extinction Agenda,PC,Action,68,6.2,,EXTEND Interactive
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,PC,Action,No score yet,6.8,,Dejobaan Games
B-17 Flying Fortress: The Mighty 8th,PC,Simulation,82,7.3,M,Wayward Simulations
B-17 Gunner: Air War Over Germany,PC,Simulation,46,tbd,T,Sunstorm Interactive
Babel Rising,PC,Strategy,No score yet,2.9,E10+,Mondo Productions
Back in 1995,PC,Action Adventure,52,5.0,,Throw the Warped Code Out
Back to Bed,PC,Action,57,6.3,,Bedtime Digital Games
Back to the Future: The Game,PC,Miscellaneous,No score yet,7.3,T,Telltale Games
Back to the Future: The Game - Episode I: It's About Time,PC,Action Adventure,74,7.1,,Telltale Games
Back to the Future: The Game - Episode II: Get Tannen!,PC,Action Adventure,74,7.3,RP,Telltale Games
Back to the Future: The Game - Episode III: Citizen Brown,PC,Action Adventure,71,5.8,E,Telltale Games
Back to the Future: The Game - Episode IV: Double Visions,PC,Action Adventure,71,6.0,RP,Telltale Games
Back to the Future: The Game - Episode V: OUTATIME,PC,Action Adventure,75,7.2,RP,Telltale Games
Backyard Skateboarding (2004),PC,Sports,No score yet,7.6,E,Humongous Entertainment
Bad Bots,PC,Action,49,4.8,,Point 5 Projects
Bad Hotel,PC,Miscellaneous,No score yet,3.6,,Lucky Frame
Bad Mojo,PC,Action Adventure,74,6.9,T,Pulse Entertainment
Bad Mojo: Redux,PC,Action Adventure,74,7.0,T,Pulse Entertainment
Bad Piggies,PC,Puzzle,No score yet,6.8,E,Rovio Mobile
Bad Rats: The Rats Revenge,PC,Miscellaneous,No score yet,7.5,,Invent4 Entertainment
BADLAND: Game of the Year Edition,PC,Action,79,7.7,E,Frogmind
Baldur's Gate,PC,Role-Playing,91,9.0,T,BioWare
Baldur's Gate II: Enhanced Edition,PC,Role-Playing,78,7.5,,Overhaul Games
Baldur's Gate II: Shadows of Amn,PC,Role-Playing,95,9.2,T,BioWare
Baldur's Gate: Enhanced Edition,PC,Role-Playing,78,7.0,T,Overhaul Games
Baldur's Gate: Siege of Dragonspear,PC,Role-Playing,77,3.6,,Overhaul Games
Baldur's Gate: Tales of the Sword Coast,PC,Role-Playing,No score yet,8.2,T,BioWare
Ballance,PC,Miscellaneous,No score yet,8.7,E,Cyparade
Ballistics,PC,Driving,71,7.8,E,GRIN
Ballpoint Universe,PC,Action,No score yet,4.6,,ArachnidGames
CABAL Online,PC,Role-Playing,No score yet,7.1,T,ESTsoft
Cabela's African Adventures,PC,Sports,No score yet,4.8,T,Activision
Cabela's Big Game Hunter 2004 Season,PC,Sports,No score yet,7.0,T,FUN Labs
Cabela's Big Game Hunter 2005 Adventures,PC,Sports,No score yet,7.4,T,FUN Labs
Cabela's Big Game Hunter: Pro Hunts,PC,Sports,No score yet,7.6,T,Cauldron Ltd.
Cabela's Dangerous Hunts,PC,Sports,68,7.4,T,FUN Labs
Cabela's Dangerous Hunts 2,PC,Sports,No score yet,5.5,T,FUN Labs
Cabela's Dangerous Hunts 2013,PC,Sports,No score yet,4.4,T,Activision
Cabela's Hunting Expeditions,PC,Sports,No score yet,6.0,T,Activision
Cabela's Outdoor Adventures (2009),PC,Sports,No score yet,8.0,T,Activision
Caesar III,PC,Strategy,No score yet,8.7,E,Impressions Games
Caesar IV,PC,Strategy,74,7.6,E10+,Tilted Mill
CALENDULA,PC,Adventure,67,8.1,,Blooming Buds Studio
Californium,PC,First-Person,64,5.9,,Nova Production
Call for Heroes: Pompolic Wars,PC,Role-Playing,25,3.2,T,Quotix Software
Call of Cthulhu: Dark Corners of the Earth,PC,Action Adventure,76,7.6,M,Headfirst Productions
Call of Cthulhu: The Wasted Land,PC,Strategy,No score yet,7.4,,Red Wasp Design
Call of Duty,PC,Action,91,8.5,T,Infinity Ward
Call of Duty 2,PC,Action,86,8.4,T,Infinity Ward
Call of Duty 4: Modern Warfare,PC,Action,92,8.5,M,Infinity Ward
Call of Duty Deluxe Edition Box Set,PC,Miscellaneous,No score yet,7.2,T,Activision
Call of Duty: Advanced Warfare,PC,Action,78,4.5,M,Sledgehammer Games
Call of Duty: Black Ops,PC,Action,81,5.2,M,Treyarch
Call of Duty: Black Ops - Annihilation,PC,Action,No score yet,5.3,M,Treyarch
Call of Duty: Black Ops - Escalation,PC,Action,No score yet,5.4,M,Treyarch
Call of Duty: Black Ops - First Strike,PC,Action,No score yet,5.3,M,Treyarch
Call of Duty: Black Ops - Rezurrection,PC,Action,No score yet,2.5,M,Treyarch
Call of Duty: Black Ops II,PC,Action,74,4.1,M,Treyarch
Call of Duty: Black Ops II - Apocalypse,PC,Action,No score yet,3.0,M,Treyarch
Call of Duty: Black Ops II - Revolution,PC,Action,No score yet,3.8,M,Treyarch
Call of Duty: Black Ops II - Uprising,PC,Action,No score yet,5.0,M,Treyarch
Call of Duty: Black Ops II - Vengeance,PC,Action,No score yet,4.4,M,Treyarch
Call of Duty: Ghosts - Invasion,PC,Action,No score yet,6.6,M,Infinity Ward
Call of Duty: Modern Warfare 2,PC,Action,86,4.2,M,Infinity Ward
Call of Duty: Modern Warfare 2 - Resurgence Pack,PC,Action,No score yet,1.8,M,Infinity Ward
Call of Duty: Modern Warfare 2 - Stimulus Package,PC,Action,No score yet,1.9,M,Infinity Ward
Call of Duty: United Offensive,PC,Action,87,8.3,T,Gray Matter
Call of Duty: War Chest,PC,Miscellaneous,No score yet,7.0,T,Infinity Ward
D-Day,PC,Strategy,56,8.2,T,Digital Reality
D.i.R.T. - Origin of the Species,PC,Action,No score yet,3.8,M,Nu Generation Games
Damned,PC,Adventure,No score yet,8.5,,9heads Game Studios
Danganronpa 2: Goodbye Despair,PC,Adventure,84,8.3,,Spike Chunsoft
Danganronpa: Trigger Happy Havoc,PC,Adventure,83,7.9,,Spike Chunsoft
Dangerous Golf,PC,Sports,54,3.2,,Three Fields Entertainment
Dangerous High School Girls in Trouble,PC,Role-Playing,81,5.9,,Mousechief
Dangerous Waters,PC,Simulation,82,8.8,E,Sonalysts
Dariusburst: Chronicle Saviours,PC,Action,80,8.4,,Pyramid
DARK,PC,Action Adventure,41,4.2,M,Kalypso
Dark Age of Camelot,PC,Role-Playing,88,8.9,T,Mythic Entertainment
Dark Age of Camelot: Catacombs,PC,Role-Playing,83,8.8,T,Mythic Entertainment
Dark Age of Camelot: Darkness Rising,PC,Role-Playing,76,8.0,T,Mythic Entertainment
Dark Age of Camelot: Shrouded Isles,PC,Role-Playing,85,8.8,T,Mythic Entertainment
Dark Age of Camelot: Trials of Atlantis,PC,Role-Playing,75,7.6,T,Mythic Entertainment
Dark and Light (2006),PC,Role-Playing,No score yet,2.6,,NP Cube
Dark Arcana: The Carnival,PC,Miscellaneous,No score yet,6.3,T,G5 Entertainment
Dark Colony,PC,Strategy,No score yet,8.5,M,GameTek
Dark Fall 3: Lost Souls,PC,Adventure,75,7.2,,Darkling Room
Dark Fall: Lights Out,PC,Adventure,66,7.1,T,XXV Productions
Dark Fall: The Journal,PC,Adventure,68,7.4,T,XXV Productions
Dark Fear,PC,Role-Playing,66,tbd,,Arif Games
Dark Horizon,PC,Simulation,55,5.4,E10+,Paradox Interactive
Dark Matter (2013),PC,Action Adventure,No score yet,1.4,,Interwave Studios
Dark Messiah of Might and Magic,PC,Action,72,8.7,M,Arkane Studios
E.T. Armies,PC,Action,54,6.5,,Raspina Studio
E.Y.E: Divine Cybermancy,PC,Role-Playing,61,6.9,RP,Streum On Studio
EA Sports GameShow,PC,Miscellaneous,No score yet,6.7,,EA Games
Eador: Genesis,PC,Strategy,No score yet,8.8,,Snowbird Game Studios
Eador: Masters of the Broken World,PC,Strategy,74,7.3,,Snowbird Game Studios
Eagle Flight,PC,Action,74,tbd,E10+,FunHouse
Earth & Beyond,PC,Role-Playing,82,7.1,T,Westwood Studios
Earth 2140,PC,Strategy,No score yet,6.0,E,TopWare Interactive
Earth 2150,PC,Strategy,78,8.5,T,TopWare Interactive
Earth 2150 Trilogy,PC,Strategy,No score yet,8.1,T,Various
Earth 2150: Lost Souls,PC,Strategy,67,7.8,T,Zuxxez
Earth 2150: The Moon Project,PC,Strategy,75,7.9,T,TopWare Interactive
Earth 2160,PC,Strategy,73,7.5,T,Reality Pump
Earth Defense Force 4.1: The Shadow of New Despair,PC,Action,79,8.6,,Sandlot
Earth Defense Force: Insect Armageddon,PC,Action,69,7.0,T,Vicious Cycle
Earthrise,PC,Role-Playing,No score yet,2.8,RP,Masthead Studios
Earthworm Jim 2,PC,Action,No score yet,7.8,K-A,Rainbow Arts
Earthworm Jim 3D,PC,Action,No score yet,5.2,E,VIS Entertainment
East India Company,PC,Action Adventure,67,5.7,T,Nitro Games
East India Company: Privateer,PC,Action Adventure,63,5.6,,Nitro Games
East Side Story - A Carol Reed Mystery,PC,Adventure,73,tbd,,MDNA Games
Eastside Hockey Manager,PC,Sports,No score yet,8.0,,Sports Interactive
Echelon,PC,Simulation,70,6.5,E,Buka Entertainment
Echelon: Wind Warriors,PC,Simulation,63,7.8,T,Buka Entertainment
Echo Of Soul,PC,Role-Playing,No score yet,6.6,,Aeria Games & Entertainment
Echo Prime,PC,Action,50,tbd,,Robot Entertainment
Echo: Secrets of the Lost Cavern,PC,Adventure,71,7.9,E,Kheops Studio
Echoes Of Aetheria,PC,Role-Playing,77,8.0,,Dancing Dragon games
ecotone,PC,Action,No score yet,6.8,,Sundae Factory
Ecstatica II,PC,Action,No score yet,7.0,M,Andrew Spencer
"Ed, Edd n Eddy: The Mis-Edventures",PC,Action,35,7.1,E,
Eden Eternal,PC,Role-Playing,No score yet,6.8,RP,X-Legend
Eden*,PC,Adventure,No score yet,7.0,M,Minor I
Edge,PC,Action,74,7.6,,Two Tribes
F.E.A.R.,PC,Action,88,8.3,M,Monolith Productions
F.E.A.R. 2: Project Origin,PC,Action,79,7.8,M,Monolith Productions
F.E.A.R. 3,PC,First-Person Shooters,74,5.9,M,Day 1 Studios
F.E.A.R. Combat,PC,Action,90,7.7,M,Monolith Productions
F.E.A.R. Extraction Point,PC,Action,75,7.5,M,Monolith Productions
F.E.A.R. Gold Edition,PC,Action,No score yet,8.0,M,Monolith Productions
F.E.A.R. Online,PC,Action Adventure,No score yet,4.0,M,Inplay Interactive
F.E.A.R. Perseus Mandate,PC,Action,61,7.3,M,TimeGate Studios
F/A-18 Hornet 3.0,PC,Simulation,No score yet,8.1,,Graphic Simulations
F1 2001,PC,Driving,79,7.5,E,EA Sports
F1 2002,PC,Driving,88,7.4,E,EA Sports
F1 2010,PC,Driving,84,6.6,E,Codemasters Birmingham
F1 2011,PC,Driving,83,7.2,E,Codemasters
F1 2012,PC,Driving,80,6.9,E,Codemasters
F1 2013,PC,Driving,77,6.3,E,Codemasters
F1 2014,PC,Driving,61,4.7,E,Codemasters Birmingham
F1 2015,PC,Racing,61,3.6,E,Codemasters
F1 2016,PC,Racing,86,8.2,E,Codemasters
F1 Challenge '99-'02,PC,Driving,91,8.2,E,Electronic Arts
F1 Championship Season 2000,PC,Driving,70,7.5,E,Image Space Incorporated
F1 Race Stars,PC,Racing,62,5.4,E,Codemasters
F1 World Grand Prix,PC,Driving,71,3.8,E,Video System
Fable Anniversary,PC,Role-Playing,No score yet,4.6,M,Lionhead Studios
Fable III,PC,Role-Playing,75,5.4,M,Lionhead Studios
Facade,PC,Adventure,No score yet,7.2,,InteractiveStory.net
Face Noir,PC,Adventure,59,6.3,,Mad Orange
Face of Mankind,PC,Role-Playing,No score yet,5.0,,DuPlex
Faces of War,PC,Strategy,67,8.6,M,Best Way
Fading Hearts,PC,Adventure,No score yet,3.6,,Sakura River Interactive
Faerie Solitaire,PC,Miscellaneous,No score yet,6.7,,Subsoap
Faery: Legends of Avalon,PC,Role-Playing,59,6.6,E10+,Spiders
Fahrenheit: Indigo Prophecy Remastered,PC,Action,61,7.4,M,Aspyr
Fair Strike,PC,Simulation,56,tbd,T,G5 Software
Fairy Bloom Freesia,PC,Action,No score yet,6.1,T,Edelweiss
Fairy Fencer F,PC,Role-Playing,66,8.0,T,Idea Factory
Falcon 4.0,PC,Simulation,85,8.0,T,Atari
Falcon 4.0: Allied Force,PC,Simulation,90,8.6,T,Lead Pursuit
Fallen Earth: Welcome to the Apocalypse,PC,Role-Playing,71,6.9,M,Fallen Earth
Fallen Enchantress: Legendary Heroes,PC,Strategy,80,7.7,,Stardock
G-Force,PC,Action,61,8.5,E10+,Eurocom Entertainment Software
G-Police,PC,Action,No score yet,8.8,E,Psygnosis
G-senjou no Maou - The Devil on G-String,PC,Adventure,No score yet,7.6,,Akabee Soft 2
G.I. Combat,PC,Strategy,38,3.6,T,Freedom Games
GabeN: The Final Decision,PC,Role-Playing,No score yet,5.8,,Alex Zhang
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",PC,Adventure,80,8.8,M,
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,PC,Adventure,74,8.1,,Pinkerton Road Studio
Galacide,PC,Action,76,tbd,,Puny Human Games
Galactic Arms Race,PC,Action,No score yet,6.0,,Evolutionary Games
Galactic Assault: Prisoner of Power,PC,Strategy,68,8.0,T,Wargaming.net
Galactic Civilizations,PC,Strategy,83,8.1,E,Stardock
Galactic Civilizations II: Dark Avatar,PC,Strategy,91,8.3,,Stardock
Galactic Civilizations II: Dread Lords,PC,Strategy,86,8.0,E10+,Stardock
Galactic Civilizations II: Twilight of the Arnor,PC,Strategy,92,8.4,,Stardock
Galactic Civilizations II: Ultimate Edition,PC,Miscellaneous,No score yet,8.0,E10+,Stardock
Galactic Civilizations III,PC,Strategy,81,6.5,,Stardock
Galactic Civilizations III: Mercenaries,PC,General,66,tbd,,Stardock
Galactic Civilizations: Altarian Prophecy,PC,Strategy,77,7.8,E,Stardock
Galactic Command: Echo Squad,PC,Simulation,No score yet,1.2,,3000AD
Galaga: Destination Earth,PC,Action,59,6.4,E,King of the Jungle
Galak-Z: The Dimensional,PC,Action,78,6.5,,17-Bit
Galaxy On Fire 2 Full HD,PC,Simulation,63,6.5,,Fishlabs
Galcon Fusion,PC,Strategy,68,6.4,,Phil Hassey
Galcon Legends,PC,Strategy,No score yet,5.7,,Hassey Enterprises
Game Dev Tycoon,PC,Strategy,68,8.0,,Greenheart Games
Game of Thrones,PC,Role-Playing,58,6.5,M,Cyanide
Game of Thrones: A Telltale Games Series,PC,Action,64,6.5,M,Telltale Games
Game of Thrones: Episode Five - A Nest of Vipers,PC,Action,74,6.7,M,Telltale Games
Game of Thrones: Episode Four - Sons of Winter,PC,Action,77,7.9,M,Telltale Games
Game of Thrones: Episode One - Iron From Ice,PC,Action,75,7.3,M,Telltale Games
Game of Thrones: Episode Six - The Ice Dragon,PC,Action,70,6.5,,Telltale Games
Game of Thrones: Episode Three - The Sword in the Darkness,PC,Action,77,7.8,M,Telltale Games
Game of Thrones: Episode Two - The Lost Lords,PC,Action,73,7.8,M,Telltale Games
Game Tycoon,PC,Strategy,42,3.4,E10+,Tri Synergy
Game Tycoon 1.5,PC,Strategy,No score yet,3.8,,Sunlight Games
Game Tycoon 2,PC,Strategy,No score yet,4.0,,Sunlight Games
Hack 'n' Slash,PC,Action,73,5.2,,Double Fine Productions
"Hack, Slash, Loot",PC,Action,No score yet,4.4,,
Hacker Evolution,PC,Strategy,No score yet,6.2,,exoSyphen Studios
Hacker Evolution Duality,PC,Strategy,No score yet,2.3,,exoSyphen Studios
Hacker Evolution: Untold,PC,Strategy,No score yet,4.6,,exoSyphen Studios
hackmud,PC,Simulation,No score yet,7.6,,Drizzly Bear
Hacknet,PC,Miscellaneous,82,7.5,,Orann
Halcyon 6: Starbase Commander,PC,Strategy,73,7.8,,Massive Damage
Half Life 1: Anthology,PC,Action,No score yet,8.9,M,Valve Software
Half Minute Hero: The Second Coming,PC,Role-Playing,79,7.0,,Opus
Half-Life,PC,Action,96,9.1,M,Valve Software
Half-Life 2,PC,Action,96,9.1,M,Valve Software
Half-Life 2: Deathmatch,PC,Action,No score yet,7.3,M,Valve Software
Half-Life 2: Episode One,PC,Action,87,8.6,M,Valve Software
Half-Life 2: Episode Pack,PC,Action,No score yet,8.6,M,Valve Software
Half-Life 2: Episode Two,PC,Action,90,9.2,M,Valve Software
Half-Life 2: Lost Coast,PC,Action,No score yet,7.7,M,Valve Software
Half-Life Deathmatch: Source,PC,Action,No score yet,4.1,,Valve Software
Half-Life: Blue Shift,PC,Action,71,8.3,M,Gearbox Software
Half-Life: Opposing Force,PC,Action,No score yet,8.8,M,Gearbox Software
Half-Life: Source,PC,Action,No score yet,8.5,M,Valve Software
Half-Minute Hero: Super Mega Neo Climax Ultimate Boy,PC,Role-Playing,75,7.6,,Opus
Halfway,PC,Strategy,69,6.1,,Robotality
Halo 2,PC,Action,72,5.5,M,Microsoft Game Studios
Halo: Combat Evolved,PC,Action,83,7.4,M,Gearbox Software
Halo: Spartan Assault,PC,Action,70,6.1,T,Vanguard
Halo: Spartan Strike,PC,Scrolling,66,6.1,T,343 Industries
Hamilton's Great Adventure,PC,Adventure,77,7.5,E,Fatshark AB
"Hamlet, or the last game without MMORPG features, shaders and product placement",PC,Adventure,No score yet,6.2,,
Hammer & Sickle,PC,Strategy,52,8.6,T,Nival Interactive
Hammerfight,PC,Action,No score yet,4.9,E10+,Konstantin Koshutin
Hammerwatch,PC,Action,72,7.5,,Crackshell
Hand of Fate,PC,Role-Playing,78,8.0,T,Defiant Development
Hannah Montana: The Movie,PC,Action,No score yet,1.4,E,n-Space
Hannibal: Terror of Rome,PC,Strategy,No score yet,2.6,,Slitherine
Hans Christian Andersen: The Ugly Prince Duckling,PC,Adventure,63,tbd,E,Guppyworks
Happy Feet,PC,Adventure,42,4.0,E,Artificial Mind and Movement
Happy Tree Friends: False Alarm,PC,Action,No score yet,4.3,M,Stainless Games
Happy Wars,PC,Action,No score yet,4.8,T,Toylogic Inc.
Harbinger,PC,Role-Playing,57,6.6,T,Silverback Entertainment
Hard Reset,PC,Action,73,7.3,M,Flying Wild Hog
Hard Reset Redux,PC,Action,73,6.4,,Flying Wild Hog
Hard Reset: Exile,PC,Action,No score yet,7.5,,Flying Wild Hog
Hard Time,PC,Adventure,No score yet,7.5,,MDickie
I Am Alive,PC,Action Adventure,66,6.0,M,Ubisoft Shanghai
I Am Bread,PC,Miscellaneous,60,4.6,E10+,Bossa Studios
I Am Setsuna,PC,Role-Playing,70,7.1,E10+,Tokyo RPG Factory
I Can't Escape: Darkness,PC,Adventure,40,tbd,,Fancy Fish Games
I Get This Call Every Day,PC,Simulation,No score yet,3.1,,David S Gallant
"I Have No Mouth, and I Must Scream",PC,Adventure,No score yet,8.7,,
I of the Dragon,PC,Role-Playing,55,8.4,M,Primal Software
I Wanna be the Boshy,PC,Action,No score yet,7.8,,
I Want To Be Human,PC,Action,53,tbd,,Sinclair Strange
I Was an Atomic Mutant!,PC,Action,64,4.5,T,Canopy Games
I'm not Alone,PC,Action Adventure,44,3.6,,TGC
"I, Zombie",PC,Action,65,5.5,,
I-Fluid,PC,Adventure,69,5.9,,Exkee
Ian's Eyes,PC,Action Adventure,36,tbd,,Sindie Games
Ib,PC,Action Adventure,No score yet,8.7,,Kouri
Ibb & Obb,PC,General,83,8.2,E,Sparpweed
iBomber Attack,PC,Adventure,No score yet,6.0,,Chillingo Ltd
iBomber Defense,PC,Action,No score yet,7.2,,Cobra Mobile
iBomber Defense Pacific,PC,Strategy,No score yet,5.8,,Cobra Mobile
Ice Age 2: The Meltdown,PC,Action,No score yet,6.4,E10+,Vivendi Games
Ice Age: Dawn of the Dinosaurs,PC,Action,67,tbd,E10+,Activision
Icewind Dale,PC,Role-Playing,87,8.3,T,Black Isle Studios
Icewind Dale II,PC,Role-Playing,83,8.3,T,Black Isle Studios
Icewind Dale: Enhanced Edition,PC,Role-Playing,80,7.4,,Black Isle Studios
Icewind Dale: Heart of Winter,PC,Role-Playing,74,7.9,T,Black Isle Studios
Icewind Dale: The Ultimate Collection,PC,Role-Playing,No score yet,8.5,T,Black Isle Studios
ICY,PC,Role-Playing,56,6.5,,Inner Void
Iesabel,PC,Action,No score yet,5.5,,Madman Theory Games
If My Heart Had Wings,PC,Adventure,No score yet,8.5,T,Pulltop
IGI 2: Covert Strike,PC,Action Adventure,64,8.5,M,Innerloop
Ignite,PC,Driving,59,6.2,,Nemesys
Iji,PC,Action,No score yet,8.2,,Daniel Remar
Ikaruga,PC,Action,84,7.9,,Treasure
IKEA VR Experience,PC,Miscellaneous,No score yet,2.0,,IKEA Communications AB
IL-2 Sturmovik,PC,Simulation,91,8.8,T,1C
IL-2 Sturmovik: 1946,PC,Simulation,86,8.8,T,1C: Maddox Games
J.U.L.I.A.,PC,Other Strategy Games,64,tbd,,Cardboard Box Entertainment
J.U.L.I.A.: Among the Stars,PC,Strategy,71,7.6,,Cardboard Box Entertainment
Jack Keane,PC,Adventure,69,7.0,T,Legacy Interactive
Jack Keane 2: The Fire Within,PC,Adventure,52,6.5,T,Deck 13
Jack Lumber,PC,Action,No score yet,6.0,,Owlchemy Labs
Jack Orlando: A Cinematic Adventure,PC,Adventure,No score yet,6.9,T,TopWare Interactive
Jack the Ripper,PC,Adventure,58,6.4,T,Galilea Multimedia
Jade Empire: Special Edition,PC,Role-Playing,81,8.2,M,BioWare
Jagged Alliance 2,PC,Strategy,No score yet,9.0,M,Sir-Tech Software Inc.
Jagged Alliance 2 Gold Pack,PC,Miscellaneous,No score yet,8.2,T,Sir-Tech Software Inc.
Jagged Alliance 2: Unfinished Business,PC,Strategy,64,8.1,T,Sir-Tech Software Inc.
Jagged Alliance 2: Wildfire,PC,Strategy,No score yet,8.5,T,I-Deal Games Studios
Jagged Alliance Online,PC,Strategy,No score yet,6.0,,Cliffhanger Productions
Jagged Alliance: Back in Action,PC,Strategy,62,5.5,M,Kalypso
Jagged Alliance: Crossfire,PC,Strategy,63,4.1,T,Kalypso
Jagged Alliance: Flashback,PC,Strategy,52,4.3,,Full Control ApS
James Bond 007: Blood Stone,PC,Action,63,7.1,T,Bizarre Creations
James Cameron's Avatar: The Game,PC,Action,59,7.3,T,Ubisoft
Jamestown: Legend of the Lost Colony,PC,Action,81,7.5,,Final Form Games
JamG,PC,Puzzle,No score yet,7.8,,Erno Kiraly
JamParty: Be the Music,PC,Action,No score yet,8.0,,Zivix
Jane's Attack Squadron,PC,Simulation,58,tbd,E,Mad Doc Software
JASF: Jane's Advanced Strike Fighters,PC,Action,48,3.1,T,Trickstar Games
Jaws Unleashed,PC,Action,55,7.5,M,Appaloosa Interactive
Jazz and Faust,PC,Adventure,42,tbd,T,Saturn+
Jazz Jackrabbit 2,PC,Action,No score yet,8.8,E,Epic Games
Jazzpunk,PC,Adventure Games,75,7.7,,Necrophone
Jekyll & Hyde (2001),PC,Action,34,7.0,T,In Utero
Jerry McPartlin - Rebel with a Cause,PC,Adventure,No score yet,4.7,,bluebox interactive
Jet Car Stunts,PC,Action,57,6.8,E,True Axis
Jet Gunner,PC,Action,No score yet,6.7,,Sinclair Strange
Jet Set Radio,PC,Action,No score yet,7.5,T,Sega
Jetfighter 2015,PC,Simulation,63,tbd,T,
JetFighter IV: Fortress America,PC,Simulation,60,7.5,E,Mission Studios
JetFighter V: Homeland Protector,PC,Simulation,56,4.0,T,InterActive Vision Games
K-Hawk: Survival Instinct,PC,Action Adventure,59,tbd,T,Similis
KAIRO,PC,Adventure,76,8.0,,Perrin
Kalimba,PC,Action,81,tbd,,Press Play
KAMI,PC,Miscellaneous,No score yet,7.7,,State of Play Games
Kane & Lynch 2: Dog Days,PC,Action,66,5.7,M,Nixxes Software
Kane & Lynch: Dead Men,PC,Action,67,5.9,M,Io Interactive
KAO the Kangaroo,PC,Action,60,7.8,E,Titus Software
Kao the Kangaroo Round 2,PC,Action,No score yet,7.9,E,Tate Interactive
Kaptain Brawe: A Brawe New World,PC,Adventure,69,tbd,T,Cateia Games
Kara no Shoujo,PC,Adventure,No score yet,8.9,,Innocent Grey
Karate Master 2 Knock Down Blow,PC,Sports,No score yet,7.8,,Crian Soft
Karateka,PC,Action,48,4.8,T,Liquid Entertainment
Karma. Incarnation 1,PC,Action,No score yet,6.5,,AuraLab
Karmaflow: The Rock Opera Videogame,PC,Action,47,tbd,,Basecamp Games
Katawa Shoujo,PC,Adventure,No score yet,8.7,,Four Leaf Studios
Kathy Rain,PC,Adventure,77,6.7,,Clifftop Games
Keep Talking and Nobody Explodes,PC,Adventure,67,8.5,,Steel Crate Games
Keepsake,PC,Adventure,68,6.9,E,Wicked Studios
Kelly Slater's Pro Surfer,PC,Sports,82,7.8,T,Beenox
Kelvin and the Infamous Machine,PC,Adventure,79,7.5,,Blyts
Kenshi,PC,Role-Playing,No score yet,7.7,,Lo-Fi Games
Kentucky Route Zero,PC,Adventure,No score yet,8.2,,Cardboard Computer
Kentucky Route Zero - Act I,PC,Adventure,81,7.6,,Cardboard Computer
Kentucky Route Zero - Act II,PC,Adventure,82,8.1,,Cardboard Computer
Kentucky Route Zero - Act III,PC,Adventure,91,6.6,,Cardboard Computer
Kentucky Route Zero - Act IV,PC,Adventure,90,6.5,,Cardboard Computer
Kerbal Space Program,PC,Sci-Fi,88,8.2,,SQUADTeam
Kero Blaster,PC,General,82,7.0,,Studio Pixel
Kholat,PC,Fantasy,64,7.4,,IMGN.PRO
Kick-Ass 2,PC,Action,No score yet,2.1,,Freedom Factory Studios
KickBeat: Steam Edition,PC,Action,66,7.4,T,Zen Studios
Kidnapped,PC,Action Adventure,No score yet,5.0,,Deceptive Games
Kill the Bad Guy,PC,Miscellaneous,62,6.1,,Exkee
Kill to Collect,PC,Action,57,5.2,,Pieces Interactive
kill.switch,PC,Action,66,7.8,T,Namco
L.A. Noire: The Complete Edition,PC,Adventure,83,7.9,M,Rockstar Leeds
LA Cops,PC,Action,45,6.1,,Modern Dream
La Grande Armee at Austerlitz,PC,Strategy,67,5.3,,HistWar
La-Mulana (Remake),PC,Action,80,7.1,,Nigoro
Labyrinthine Dreams,PC,Adventure,No score yet,6.6,,Solest Games
Labyronia RPG,PC,Role-Playing,No score yet,6.5,,Labyrinthine
Labyronia RPG 2,PC,Role-Playing,No score yet,7.4,,Labyrinthine
Lakeview Cabin Collection,PC,Action,70,tbd,,Roope Tamminen
Land of Legends,PC,Strategy,70,tbd,,Tiny Hero Game Studios
Land of the Dead: Road to Fiddler's Green,PC,Action,36,6.6,M,Brainbox Games
Lands of Lore III,PC,Role-Playing,No score yet,8.3,T,Westwood Studios
Lands of Lore: Guardians of Destiny,PC,Role-Playing,No score yet,7.1,,Westwood Studios
Lantern Forge,PC,Action,No score yet,6.9,,Hearthfire Studios
Lara Croft and the Guardian of Light,PC,Action Adventure,82,8.1,T,Crystal Dynamics
Lara Croft and the Temple of Osiris,PC,Action,73,5.4,T,Nixxes Software
Lara Croft Tomb Raider: The Angel of Darkness,PC,Action Adventure,49,6.4,T,Core Design Ltd.
Larry Ragland 4x4 Challenge,PC,Driving,51,tbd,E,Xpiral
Larva Mortus,PC,Action,64,7.4,,Rake in Grass
Laser Squad Nemesis,PC,Strategy,73,7.3,T,Codo Games
Last Chaos,PC,Role-Playing,No score yet,7.6,,T-Entertainment
Last Dream,PC,Role-Playing,No score yet,8.3,,White Giant RPG Studios
Last Knight,PC,Action,No score yet,7.9,,Davision
Last Word,PC,Role-Playing,67,8.4,,Twelve Tiles
LaTale,PC,Role-Playing,No score yet,4.8,,Actoz Soft
