title,platform,link
Assassin's Creed Chronicles,xbox,http://static.metacritic.com/images/products/games/0/a3028869c7d3ceb65c4382fa9202bc05-98.jpg
Assassin's Creed Chronicles: China,xbox,http://static.metacritic.com/images/products/games/6/981f377f69fb298e9fb9b33074b84b28-98.jpg
Assassin's Creed Chronicles: India,xbox,http://static.metacritic.com/images/products/games/0/17d7ace2fe44029194112294a9df614f-98.jpg
Assassin's Creed Chronicles: Russia,xbox,http://static.metacritic.com/images/products/games/1/4a9fd7b2fa18b374d9b727daaf779e5c-98.jpg
Assassin's Creed IV: Black Flag,xbox,http://static.metacritic.com/images/products/games/1/6163bcf496a42098242b17f590f8f41c-98.jpg
Assassin's Creed IV: Black Flag - Freedom Cry,xbox,http://static.metacritic.com/images/products/games/0/c28c5db2fb5e033c36421f39de7034fe-98.jpg
Assassin's Creed IV: Black Flag - Illustrious Pirates Pack,xbox,http://static.metacritic.com/images/products/games/2/1631c3f7560f2f27709e46cd6cc5389c-98.jpg
Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeards Wrath,xbox,http://static.metacritic.com/images/products/games/3/cd6229d6316079cc010983144544d707-98.jpg
Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues,xbox,http://static.metacritic.com/images/products/games/4/37748684aa44ee638f9999845f0dbeb4-98.jpg
Assassin's Creed Syndicate,xbox,http://static.metacritic.com/images/products/games/0/da26d1b3d720dc363580c0da4b0e0c72-98.jpg
Assassin's Creed Syndicate - A Long Night Mission,xbox,http://static.metacritic.com/images/products/games/2/971d93d71fd40fd76dbed854bc0939be-98.jpg
Assassin's Creed Syndicate: Jack the Ripper,xbox,http://static.metacritic.com/images/products/games/0/55a16c40ba25c0ee276e2eb39a560f44-98.jpg
Assassin's Creed Syndicate: Runaway Train,xbox,http://static.metacritic.com/images/products/games/3/859feaa9fd4d10b7d4e01043807ffdcf-98.jpg
Assassin's Creed Syndicate: Steampunk Pack,xbox,http://static.metacritic.com/images/products/games/4/11d3b83e41e1f2e2b078a660b682ce10-98.jpg
Assassin's Creed Syndicate: The Darwin And Dickens Conspiracy,xbox,http://static.metacritic.com/images/products/games/5/dd7e3dcd1098696681132571c11afab9-98.jpg
Assassin's Creed Syndicate: The Last Maharaja,xbox,http://static.metacritic.com/images/products/games/0/9fa42dbba3a9af088b2524ebfafd7e9c-98.jpg
Assassin's Creed Syndicate: Victorian Legends Pack,xbox,http://static.metacritic.com/images/products/games/6/8f6f6696c4759a140d6d0d34c41463e1-98.jpg
Assassin's Creed Unity,xbox,http://static.metacritic.com/images/products/games/3/911b351800eac05667c34669ca3ccc6d-98.jpg
Assassin's Creed Unity - American Prisoner Mission,xbox,http://static.metacritic.com/images/products/games/7/cc8ee0f6edc11fe96cc1bb34df4e42c7-98.jpg
Assassin's Creed Unity - Chemical Revolution Mission,xbox,http://static.metacritic.com/images/products/games/8/cc8ee0f6edc11fe96cc1bb34df4e42c7-98.jpg
Assassin's Creed Unity - Killed by Science Mission,xbox,http://static.metacritic.com/images/products/games/9/cc8ee0f6edc11fe96cc1bb34df4e42c7-98.jpg
Assassin's Creed Unity: Dead Kings,xbox,http://static.metacritic.com/images/products/games/5/edabdd1df1d5a3ee9435a8ff3aed5b0c-98.jpg
Assassin's Creed Unity: Revolutionary Armaments Pack,xbox,http://static.metacritic.com/images/products/games/0/8b770f960fda1248f532d2c00734eecb-98.jpg
Assassin's Creed Unity: Secrets of the Revolution,xbox,http://static.metacritic.com/images/products/games/5/369e825318081e77dcd5f1cde7255bf6-98.jpg
Assassin's Creed Unity: Underground Armory Pack,xbox,http://static.metacritic.com/images/products/games/1/3436f383f459cc8672da9545810d20ec-98.jpg
Assassin's Creed: The Ezio Collection,xbox,http://static.metacritic.com/images/products/games/1/24a54054d9f9f2339a57e5a0a025a31b-98.jpg
Assetto Corsa,xbox,http://static.metacritic.com/images/products/games/3/1c2246bdbe494c6b8f201c1adfe5a139-98.jpg
Atari Flashback Classics: Volume 1,xbox,http://static.metacritic.com/images/products/games/3/a0db116da76dbecd5f6b4cf72fd979af-98.jpg
Atari Flashback Classics: Volume 2,xbox,http://static.metacritic.com/images/products/games/4/1cd1c43b60318ef84c49a0e3b2f23483-98.jpg
Attack on Titan,xbox,http://static.metacritic.com/images/products/games/8/0424650b4cb32af58c76b691049ca09e-98.jpg
ATV Renegades,xbox,http://static.metacritic.com/images/products/games/6/05fae2e3a8e13b51a5f60e7670ed8882-98.jpg
Awesomenauts Assemble!,xbox,http://static.metacritic.com/images/products/games/7/aacb1189f306bb6b7f29dd6d430ec7be-98.jpg
Axiom Verge,xbox,http://static.metacritic.com/images/products/games/7/b8d4e32c0bdd6ae139821312f7b3157c-98.jpg
Azkend 2: The World Beneath,xbox,http://static.metacritic.com/images/products/games/6/8237e857358bc0fae5133e9beadeaf46-98.jpg
Back to the Future: The Game,xbox,http://static.metacritic.com/images/products/games/2/49a607c467a2744b1f982883592f3f72-98.jpg
BADLAND: Game of the Year Edition,xbox,http://static.metacritic.com/images/products/games/3/640dee0352fd4afd6926fcda468fcab9-98.jpg
Baila Latino,xbox,http://static.metacritic.com/images/products/games/9/b9a6f2366a133394bacf7097c109468a-98.jpg
Bard's Gold,xbox,http://static.metacritic.com/images/products/games/0/a86a659e41ef812f8f214a1134716677-98.jpg
Baseball Riot,xbox,http://static.metacritic.com/images/products/games/9/a1f287967e6fcd4ea8812191b450395f-98.jpg
Batman: Arkham Knight,xbox,http://static.metacritic.com/images/products/games/3/9bc954d829de2865be72968cee637f75-98.jpg
Batman: Arkham Knight - A Flip of a Coin,xbox,http://static.metacritic.com/images/products/games/6/df960fafde7e7ba65f37169d0c2ba797-98.jpg
Batman: Arkham Knight - A Matter of Family,xbox,http://static.metacritic.com/images/products/games/6/b336787a4734a7f74ec2859eb3865c21-98.jpg
Batman: Arkham Knight - Catwoman's Revenge,xbox,http://static.metacritic.com/images/products/games/4/e764b5f86d38bf2b44ad45a161f6d73d-98.jpg
Batman: Arkham Knight - Crime Fighter Challenge Pack 1,xbox,http://static.metacritic.com/images/products/games/7/12aeb591159ce0b7ee1299e29a82cd72-98.jpg
Batman: Arkham Knight - Crime Fighter Challenge Pack 2,xbox,http://static.metacritic.com/images/products/games/8/721fad782d462c1d7fa0730fa573b443-98.jpg
Batman: Arkham Knight - Crime Fighter Challenge Pack 3,xbox,http://static.metacritic.com/images/products/games/9/8417b32b5948f45de935883243f3b3fd-98.jpg
Batman: Arkham Knight - Crime Fighter Challenge Pack 4,xbox,http://static.metacritic.com/images/products/games/0/060eb0737accff0ad7bcb7687c14e507-98.jpg
Batman: Arkham Knight - Crime Fighter Challenge Pack 5,xbox,http://static.metacritic.com/images/products/games/8/6a8562a3666b0aca3a472fc1dedbb61a-98.jpg
Batman: Arkham Knight - GCPD Lockdown,xbox,http://static.metacritic.com/images/products/games/1/ba333d39bea186d52c63da4fa640a16e-98.jpg
Batman: Arkham Knight - Harley Quinn Story Pack,xbox,http://static.metacritic.com/images/products/games/1/01363c6251192742710911595808e703-98.jpg
Batman: Arkham Knight - Red Hood Story Pack,xbox,http://static.metacritic.com/images/products/games/2/4f52f3aac8f85bbb82ae2bab9efe8096-98.jpg
Batman: Arkham Knight - Season of Infamy: Most Wanted,xbox,http://static.metacritic.com/images/products/games/5/d564f62985c2d54b6d128b6f2af11a35-98.jpg
Batman: Arkham Knight - WayneTech Track Pack,xbox,http://static.metacritic.com/images/products/games/3/e21f9d8bb9e9eee4d61d707652b10953-98.jpg
Batman: Return to Arkham,xbox,http://static.metacritic.com/images/products/games/7/157a979aaf3c2c38f72147236996d4dc-98.jpg
Batman: The Telltale Series,xbox,http://static.metacritic.com/images/products/games/0/82058c75c95727a6acced6ebe2b87655-98.jpg
Batman: The Telltale Series - Episode 1: Realm of Shadows,xbox,http://static.metacritic.com/images/products/games/4/62ac334a24794955d45944191e21f4d7-98.jpg
Batman: The Telltale Series - Episode 2: Children of Arkham,xbox,http://static.metacritic.com/images/products/games/4/71e6598bd416691ca7387ca00a5312e1-98.jpg
